gene_id	sample_id	corrected_count
GENE_00007	Treatment_Batch3_Rep6	32.337155
GENE_00008	Control_Batch1_Rep1	177.472272
GENE_00008	Control_Batch1_Rep4	200.114268
GENE_00008	Control_Batch2_Rep3	181.621579
GENE_00008	Control_Batch2_Rep6	191.424314
GENE_00008	Control_Batch3_Rep2	221.261102
GENE_00008	Control_Batch3_Rep5	198.349704
GENE_00008	Treatment_Batch1_Rep2	212.569243
GENE_00008	Treatment_Batch1_Rep5	180.301811
GENE_00008	Treatment_Batch2_Rep1	194.750832
GENE_00008	Treatment_Batch2_Rep4	197.560530
GENE_00008	Treatment_Batch3_Rep3	244.079165
GENE_00008	Treatment_Batch3_Rep6	218.660757
GENE_00009	Control_Batch1_Rep1	25.066705
GENE_00009	Control_Batch1_Rep4	21.117586
GENE_00009	Control_Batch2_Rep3	25.313112
GENE_00009	Control_Batch2_Rep6	20.418593
GENE_00009	Control_Batch3_Rep2	14.950074
GENE_00009	Control_Batch3_Rep5	29.827023
GENE_00009	Treatment_Batch1_Rep2	25.672614
GENE_00009	Treatment_Batch1_Rep5	19.464400
GENE_00009	Treatment_Batch2_Rep1	20.842898
GENE_00009	Treatment_Batch2_Rep4	17.431811
GENE_00009	Treatment_Batch3_Rep3	23.172073
GENE_00009	Treatment_Batch3_Rep6	30.797290
GENE_00010	Control_Batch1_Rep1	82.218793
GENE_00010	Control_Batch1_Rep4	62.347159
GENE_00010	Control_Batch2_Rep3	62.649952
GENE_00010	Control_Batch2_Rep6	56.151132
GENE_00010	Control_Batch3_Rep2	70.265350
GENE_00010	Control_Batch3_Rep5	77.550261
GENE_00010	Treatment_Batch1_Rep2	85.233078
GENE_00010	Treatment_Batch1_Rep5	80.930927
GENE_00010	Treatment_Batch2_Rep1	76.206847
GENE_00010	Treatment_Batch2_Rep4	72.955359
GENE_00010	Treatment_Batch3_Rep3	89.598681
GENE_00010	Treatment_Batch3_Rep6	86.232411
GENE_00011	Control_Batch1_Rep1	313.835147
GENE_00011	Control_Batch1_Rep4	329.836583
GENE_00011	Control_Batch2_Rep3	322.742179
GENE_00011	Control_Batch2_Rep6	311.383551
GENE_00011	Control_Batch3_Rep2	354.316765
GENE_00011	Control_Batch3_Rep5	305.726988
GENE_00011	Treatment_Batch1_Rep2	174.573774
GENE_00011	Treatment_Batch1_Rep5	178.252927
GENE_00011	Treatment_Batch2_Rep1	167.394529
GENE_00011	Treatment_Batch2_Rep4	177.546229
GENE_00011	Treatment_Batch3_Rep3	182.286972
GENE_00011	Treatment_Batch3_Rep6	169.385094
GENE_00012	Control_Batch1_Rep1	935.489433
GENE_00012	Control_Batch1_Rep4	977.442556
GENE_00012	Control_Batch2_Rep3	863.177123
GENE_00012	Control_Batch2_Rep6	901.608520
GENE_00012	Control_Batch3_Rep2	994.179953
GENE_00012	Control_Batch3_Rep5	985.783116
GENE_00012	Treatment_Batch1_Rep2	1834.051533
GENE_00012	Treatment_Batch1_Rep5	1943.366680
GENE_00012	Treatment_Batch2_Rep1	1834.826406
GENE_00012	Treatment_Batch2_Rep4	1766.423566
GENE_00012	Treatment_Batch3_Rep3	2026.783956
GENE_00012	Treatment_Batch3_Rep6	2055.719089
GENE_00013	Control_Batch1_Rep1	88.234802
GENE_00013	Control_Batch1_Rep4	88.492742
GENE_00013	Control_Batch2_Rep3	88.595892
GENE_00013	Control_Batch2_Rep6	71.465077
GENE_00013	Control_Batch3_Rep2	83.720416
GENE_00013	Control_Batch3_Rep5	73.076206
GENE_00013	Treatment_Batch1_Rep2	49.291419
GENE_00013	Treatment_Batch1_Rep5	49.173221
GENE_00013	Treatment_Batch2_Rep1	41.034457
GENE_00013	Treatment_Batch2_Rep4	49.067321
GENE_00013	Treatment_Batch3_Rep3	46.344145
GENE_00013	Treatment_Batch3_Rep6	52.355393
GENE_00014	Control_Batch1_Rep1	51.136078
GENE_00014	Control_Batch1_Rep4	54.302364
GENE_00014	Control_Batch2_Rep3	32.907046
GENE_00014	Control_Batch2_Rep6	44.027592
GENE_00014	Control_Batch3_Rep2	41.860208
GENE_00014	Control_Batch3_Rep5	44.740535
GENE_00014	Treatment_Batch1_Rep2	96.529028
GENE_00014	Treatment_Batch1_Rep5	75.808716
GENE_00014	Treatment_Batch2_Rep1	72.298804
GENE_00014	Treatment_Batch2_Rep4	83.930944
GENE_00014	Treatment_Batch3_Rep3	95.777900
GENE_00014	Treatment_Batch3_Rep6	89.312140
GENE_00015	Control_Batch1_Rep1	98.261484
GENE_00015	Control_Batch1_Rep4	88.492742
GENE_00015	Control_Batch2_Rep3	74.673681
GENE_00015	Control_Batch2_Rep6	68.274672
GENE_00015	Control_Batch3_Rep2	94.185469
GENE_00015	Control_Batch3_Rep5	82.024314
GENE_00015	Treatment_Batch1_Rep2	39.022373
GENE_00015	Treatment_Batch1_Rep5	31.757705
GENE_00015	Treatment_Batch2_Rep1	51.455905
GENE_00015	Treatment_Batch2_Rep4	43.256718
GENE_00015	Treatment_Batch3_Rep3	43.254536
GENE_00015	Treatment_Batch3_Rep6	41.576341
GENE_00016	Control_Batch1_Rep1	391.040599
GENE_00016	Control_Batch1_Rep4	366.038159
GENE_00016	Control_Batch2_Rep3	370.837092
GENE_00016	Control_Batch2_Rep6	373.915494
GENE_00016	Control_Batch3_Rep2	403.652010
GENE_00016	Control_Batch3_Rep5	384.768599
GENE_00016	Treatment_Batch1_Rep2	375.847067
GENE_00016	Treatment_Batch1_Rep5	365.725833
GENE_00016	Treatment_Batch2_Rep1	345.210506
GENE_00016	Treatment_Batch2_Rep4	376.398004
GENE_00016	Treatment_Batch3_Rep3	370.753163
GENE_00016	Treatment_Batch3_Rep6	403.444496
GENE_00017	Control_Batch1_Rep1	68.181438
GENE_00017	Control_Batch1_Rep4	90.503940
GENE_00017	Control_Batch2_Rep3	79.103475
GENE_00017	Control_Batch2_Rep6	69.550834
GENE_00017	Control_Batch3_Rep2	88.205439
GENE_00017	Control_Batch3_Rep5	79.041611
GENE_00017	Treatment_Batch1_Rep2	78.044746
GENE_00017	Treatment_Batch1_Rep5	84.004253
GENE_00017	Treatment_Batch2_Rep1	79.463551
GENE_00017	Treatment_Batch2_Rep4	78.120340
GENE_00017	Treatment_Batch3_Rep3	95.777900
GENE_00017	Treatment_Batch3_Rep6	87.772276
GENE_00018	Control_Batch1_Rep1	9.024014
GENE_00018	Control_Batch1_Rep4	5.027997
GENE_00018	Control_Batch2_Rep3	2.531311
GENE_00018	Control_Batch2_Rep6	5.742729
GENE_00018	Control_Batch3_Rep2	2.990015
GENE_00018	Control_Batch3_Rep5	5.965405
GENE_00018	Treatment_Batch1_Rep2	6.161427
GENE_00018	Treatment_Batch1_Rep5	4.097768
GENE_00018	Treatment_Batch2_Rep1	5.862065
GENE_00018	Treatment_Batch2_Rep4	5.810604
GENE_00018	Treatment_Batch3_Rep3	3.089609
GENE_00018	Treatment_Batch3_Rep6	4.619594
GENE_00019	Control_Batch1_Rep1	238.635032
GENE_00019	Control_Batch1_Rep4	234.304646
GENE_00019	Control_Batch2_Rep3	202.504897
GENE_00019	Control_Batch2_Rep6	211.842907
GENE_00019	Control_Batch3_Rep2	242.191207
GENE_00019	Control_Batch3_Rep5	217.737269
GENE_00019	Treatment_Batch1_Rep2	247.483997
GENE_00019	Treatment_Batch1_Rep5	217.181727
GENE_00019	Treatment_Batch2_Rep1	224.061158
GENE_00019	Treatment_Batch2_Rep4	212.409851
GENE_00019	Treatment_Batch3_Rep3	240.989556
GENE_00019	Treatment_Batch3_Rep6	277.175607
GENE_00020	Control_Batch1_Rep1	921.452078
GENE_00020	Control_Batch1_Rep4	902.022605
GENE_00020	Control_Batch2_Rep3	882.161957
GENE_00020	Control_Batch2_Rep6	885.018413
GENE_00020	Control_Batch3_Rep2	1007.635019
GENE_00020	Control_Batch3_Rep5	948.499338
GENE_00020	Treatment_Batch1_Rep2	919.079575
GENE_00020	Treatment_Batch1_Rep5	914.826803
GENE_00020	Treatment_Batch2_Rep1	889.079888
GENE_00020	Treatment_Batch2_Rep4	863.843103
GENE_00020	Treatment_Batch3_Rep3	997.943929
GENE_00020	Treatment_Batch3_Rep6	997.832187
GENE_00021	Control_Batch1_Rep1	38518.501655
GENE_00021	Control_Batch1_Rep4	39438.600401
GENE_00021	Control_Batch2_Rep3	36922.971006
GENE_00021	Control_Batch2_Rep6	37299.665701
GENE_00021	Control_Batch3_Rep2	40904.898750
GENE_00021	Control_Batch3_Rep5	40731.782876
GENE_00021	Treatment_Batch1_Rep2	20025.665700
GENE_00021	Treatment_Batch1_Rep5	19754.317175
GENE_00021	Treatment_Batch2_Rep1	18839.374859
GENE_00021	Treatment_Batch2_Rep4	19127.216573
GENE_00021	Treatment_Batch3_Rep3	20961.456933
GENE_00021	Treatment_Batch3_Rep6	21143.879260
GENE_00022	Control_Batch1_Rep1	5.013341
GENE_00022	Control_Batch1_Rep4	7.039195
GENE_00022	Control_Batch2_Rep3	6.328278
GENE_00022	Control_Batch2_Rep6	5.742729
GENE_00022	Control_Batch3_Rep2	8.970045
GENE_00022	Control_Batch3_Rep5	5.965405
GENE_00022	Treatment_Batch1_Rep2	15.403568
GENE_00022	Treatment_Batch1_Rep5	14.342190
GENE_00022	Treatment_Batch2_Rep1	11.724130
GENE_00022	Treatment_Batch2_Rep4	10.329963
GENE_00022	Treatment_Batch3_Rep3	13.903243
GENE_00022	Treatment_Batch3_Rep6	13.858780
GENE_00023	Control_Batch1_Rep1	6400.031135
GENE_00023	Control_Batch1_Rep4	6262.872671
GENE_00023	Control_Batch2_Rep3	6155.516042
GENE_00023	Control_Batch2_Rep6	6097.502488
GENE_00023	Control_Batch3_Rep2	6684.178294
GENE_00023	Control_Batch3_Rep5	6632.038607
GENE_00023	Treatment_Batch1_Rep2	3209.076730
GENE_00023	Treatment_Batch1_Rep5	3284.361399
GENE_00023	Treatment_Batch2_Rep1	3213.714408
GENE_00023	Treatment_Batch2_Rep4	3142.245429
GENE_00023	Treatment_Batch3_Rep3	3478.900509
GENE_00023	Treatment_Batch3_Rep6	3501.651842
GENE_00024	Control_Batch1_Rep1	2153.731298
GENE_00024	Control_Batch1_Rep4	2200.251350
GENE_00024	Control_Batch2_Rep3	2085.167611
GENE_00024	Control_Batch2_Rep6	2101.200889
GENE_00024	Control_Batch3_Rep2	2288.856401
GENE_00024	Control_Batch3_Rep5	2231.061335
GENE_00024	Treatment_Batch1_Rep2	4606.693828
GENE_00024	Treatment_Batch1_Rep5	4420.467698
GENE_00024	Treatment_Batch2_Rep1	4210.916832
GENE_00024	Treatment_Batch2_Rep4	4138.441175
GENE_00024	Treatment_Batch3_Rep3	4631.324923
GENE_00024	Treatment_Batch3_Rep6	4790.518417
GENE_00025	Control_Batch1_Rep1	0.000000
GENE_00025	Control_Batch1_Rep4	1.005599
GENE_00025	Control_Batch2_Rep3	1.265656
GENE_00025	Control_Batch2_Rep6	0.000000
GENE_00025	Control_Batch3_Rep2	0.000000
GENE_00025	Control_Batch3_Rep5	0.000000
GENE_00025	Treatment_Batch1_Rep2	0.000000
GENE_00025	Treatment_Batch1_Rep5	1.024442
GENE_00025	Treatment_Batch2_Rep1	0.000000
GENE_00025	Treatment_Batch2_Rep4	0.000000
GENE_00025	Treatment_Batch3_Rep3	0.000000
GENE_00025	Treatment_Batch3_Rep6	0.000000
GENE_00026	Control_Batch1_Rep1	1290.433976
GENE_00026	Control_Batch1_Rep4	1342.475115
GENE_00026	Control_Batch2_Rep3	1268.819745
GENE_00026	Control_Batch2_Rep6	1253.829258
GENE_00026	Control_Batch3_Rep2	1397.831963
GENE_00026	Control_Batch3_Rep5	1333.267936
GENE_00026	Treatment_Batch1_Rep2	1295.953547
GENE_00026	Treatment_Batch1_Rep5	1310.261457
GENE_00026	Treatment_Batch2_Rep1	1314.405285
GENE_00026	Treatment_Batch2_Rep4	1257.672918
GENE_00026	Treatment_Batch3_Rep3	1475.288626
GENE_00026	Treatment_Batch3_Rep6	1467.490855
GENE_00027	Control_Batch1_Rep1	38.101392
GENE_00027	Control_Batch1_Rep4	32.179179
GENE_00027	Control_Batch2_Rep3	40.500979
GENE_00027	Control_Batch2_Rep6	28.075566
GENE_00027	Control_Batch3_Rep2	38.870194
GENE_00027	Control_Batch3_Rep5	28.335672
GENE_00027	Treatment_Batch1_Rep2	42.103087
GENE_00027	Treatment_Batch1_Rep5	30.733263
GENE_00027	Treatment_Batch2_Rep1	37.126413
GENE_00027	Treatment_Batch2_Rep4	36.800491
GENE_00027	Treatment_Batch3_Rep3	37.075316
GENE_00027	Treatment_Batch3_Rep6	33.877018
GENE_00028	Control_Batch1_Rep1	6.016009
GENE_00028	Control_Batch1_Rep4	7.039195
GENE_00028	Control_Batch2_Rep3	10.125244
GENE_00028	Control_Batch2_Rep6	11.485459
GENE_00028	Control_Batch3_Rep2	8.970045
GENE_00028	Control_Batch3_Rep5	13.422161
GENE_00028	Treatment_Batch1_Rep2	7.188332
GENE_00028	Treatment_Batch1_Rep5	11.268863
GENE_00028	Treatment_Batch2_Rep1	9.118768
GENE_00028	Treatment_Batch2_Rep4	4.519359
GENE_00028	Treatment_Batch3_Rep3	9.268829
GENE_00028	Treatment_Batch3_Rep6	10.779051
GENE_00029	Control_Batch1_Rep1	747.990479
GENE_00029	Control_Batch1_Rep4	783.361884
GENE_00029	Control_Batch2_Rep3	729.650457
GENE_00029	Control_Batch2_Rep6	737.621691
GENE_00029	Control_Batch3_Rep2	838.699178
GENE_00029	Control_Batch3_Rep5	776.993954
GENE_00029	Treatment_Batch1_Rep2	814.335311
GENE_00029	Treatment_Batch1_Rep5	807.260381
GENE_00029	Treatment_Batch2_Rep1	743.830939
GENE_00029	Treatment_Batch2_Rep4	753.441630
GENE_00029	Treatment_Batch3_Rep3	775.492032
GENE_00029	Treatment_Batch3_Rep6	834.606551
GENE_00030	Control_Batch1_Rep1	195.520299
GENE_00030	Control_Batch1_Rep4	174.974285
GENE_00030	Control_Batch2_Rep3	181.621579
GENE_00030	Control_Batch2_Rep6	191.424314
GENE_00030	Control_Batch3_Rep2	197.340983
GENE_00030	Control_Batch3_Rep5	187.910246
GENE_00030	Treatment_Batch1_Rep2	204.354006
GENE_00030	Treatment_Batch1_Rep5	195.668443
GENE_00030	Treatment_Batch2_Rep1	184.329384
GENE_00030	Treatment_Batch2_Rep4	180.774341
GENE_00030	Treatment_Batch3_Rep3	222.451898
GENE_00030	Treatment_Batch3_Rep6	180.164145
GENE_00031	Control_Batch1_Rep1	15148.311199
GENE_00031	Control_Batch1_Rep4	15235.835556
GENE_00031	Control_Batch2_Rep3	14249.383645
GENE_00031	Control_Batch2_Rep6	14430.840965
GENE_00031	Control_Batch3_Rep2	15592.927669
GENE_00031	Control_Batch3_Rep5	15586.110972
GENE_00031	Treatment_Batch1_Rep2	7640.169879
GENE_00031	Treatment_Batch1_Rep5	7720.195728
GENE_00031	Treatment_Batch2_Rep1	7356.891821
GENE_00031	Treatment_Batch2_Rep4	7210.313734
GENE_00031	Treatment_Batch3_Rep3	8020.626752
GENE_00031	Treatment_Batch3_Rep6	8264.452698
GENE_00032	Control_Batch1_Rep1	46.122737
GENE_00032	Control_Batch1_Rep4	39.218374
GENE_00032	Control_Batch2_Rep3	37.336840
GENE_00032	Control_Batch2_Rep6	44.027592
GENE_00032	Control_Batch3_Rep2	38.870194
GENE_00032	Control_Batch3_Rep5	37.283779
GENE_00032	Treatment_Batch1_Rep2	73.937128
GENE_00032	Treatment_Batch1_Rep5	81.955369
GENE_00032	Treatment_Batch2_Rep1	78.160869
GENE_00032	Treatment_Batch2_Rep4	78.120340
GENE_00032	Treatment_Batch3_Rep3	74.150633
GENE_00032	Treatment_Batch3_Rep6	90.852005
GENE_00033	Control_Batch1_Rep1	354.944544
GENE_00033	Control_Batch1_Rep4	354.976566
GENE_00033	Control_Batch2_Rep3	298.694723
GENE_00033	Control_Batch2_Rep6	321.592848
GENE_00033	Control_Batch3_Rep2	367.771832
GENE_00033	Control_Batch3_Rep5	334.062660
GENE_00033	Treatment_Batch1_Rep2	189.977342
GENE_00033	Treatment_Batch1_Rep5	160.837411
GENE_00033	Treatment_Batch2_Rep1	168.697209
GENE_00033	Treatment_Batch2_Rep4	162.051285
GENE_00033	Treatment_Batch3_Rep3	193.100606
GENE_00033	Treatment_Batch3_Rep6	155.526313
GENE_00034	Control_Batch1_Rep1	624.662290
GENE_00034	Control_Batch1_Rep4	629.505185
GENE_00034	Control_Batch2_Rep3	551.825845
GENE_00034	Control_Batch2_Rep6	583.206077
GENE_00034	Control_Batch3_Rep2	707.138522
GENE_00034	Control_Batch3_Rep5	606.979922
GENE_00034	Treatment_Batch1_Rep2	1345.244965
GENE_00034	Treatment_Batch1_Rep5	1140.204067
GENE_00034	Treatment_Batch2_Rep1	1199.118003
GENE_00034	Treatment_Batch2_Rep4	1210.542466
GENE_00034	Treatment_Batch3_Rep3	1368.697092
GENE_00034	Treatment_Batch3_Rep6	1375.098986
GENE_00035	Control_Batch1_Rep1	6.016009
GENE_00035	Control_Batch1_Rep4	8.044795
GENE_00035	Control_Batch2_Rep3	3.164139
GENE_00035	Control_Batch2_Rep6	3.828487
GENE_00035	Control_Batch3_Rep2	5.980029
GENE_00035	Control_Batch3_Rep5	4.474053
GENE_00035	Treatment_Batch1_Rep2	2.053809
GENE_00035	Treatment_Batch1_Rep5	2.048884
GENE_00035	Treatment_Batch2_Rep1	1.954022
GENE_00035	Treatment_Batch2_Rep4	1.291246
GENE_00035	Treatment_Batch3_Rep3	4.634414
GENE_00035	Treatment_Batch3_Rep6	0.000000
GENE_00036	Control_Batch1_Rep1	51.136078
GENE_00036	Control_Batch1_Rep4	71.397553
GENE_00036	Control_Batch2_Rep3	53.157535
GENE_00036	Control_Batch2_Rep6	54.874970
GENE_00036	Control_Batch3_Rep2	62.790313
GENE_00036	Control_Batch3_Rep5	64.128100
GENE_00036	Treatment_Batch1_Rep2	78.044746
GENE_00036	Treatment_Batch1_Rep5	53.270990
GENE_00036	Treatment_Batch2_Rep1	63.831377
GENE_00036	Treatment_Batch2_Rep4	63.916642
GENE_00036	Treatment_Batch3_Rep3	71.061023
GENE_00036	Treatment_Batch3_Rep6	76.993224
GENE_00037	Control_Batch1_Rep1	44.117401
GENE_00037	Control_Batch1_Rep4	63.352758
GENE_00037	Control_Batch2_Rep3	60.118641
GENE_00037	Control_Batch2_Rep6	56.789213
GENE_00037	Control_Batch3_Rep2	76.245379
GENE_00037	Control_Batch3_Rep5	67.110803
GENE_00037	Treatment_Batch1_Rep2	57.506655
GENE_00037	Treatment_Batch1_Rep5	59.417642
GENE_00037	Treatment_Batch2_Rep1	57.969312
GENE_00037	Treatment_Batch2_Rep4	61.979775
GENE_00037	Treatment_Batch3_Rep3	69.516218
GENE_00037	Treatment_Batch3_Rep6	40.036477
GENE_00038	Control_Batch1_Rep1	52.138747
GENE_00038	Control_Batch1_Rep4	65.363957
GENE_00038	Control_Batch2_Rep3	62.017125
GENE_00038	Control_Batch2_Rep6	56.151132
GENE_00038	Control_Batch3_Rep2	73.255365
GENE_00038	Control_Batch3_Rep5	70.093505
GENE_00038	Treatment_Batch1_Rep2	62.641178
GENE_00038	Treatment_Batch1_Rep5	60.442084
GENE_00038	Treatment_Batch2_Rep1	56.666630
GENE_00038	Treatment_Batch2_Rep4	58.106038
GENE_00038	Treatment_Batch3_Rep3	71.061023
GENE_00038	Treatment_Batch3_Rep6	67.754038
GENE_00039	Control_Batch1_Rep1	118.314848
GENE_00039	Control_Batch1_Rep4	109.610328
GENE_00039	Control_Batch2_Rep3	103.150932
GENE_00039	Control_Batch2_Rep6	117.406913
GENE_00039	Control_Batch3_Rep2	113.620566
GENE_00039	Control_Batch3_Rep5	143.169711
GENE_00039	Treatment_Batch1_Rep2	127.336165
GENE_00039	Treatment_Batch1_Rep5	123.957495
GENE_00039	Treatment_Batch2_Rep1	119.846667
GENE_00039	Treatment_Batch2_Rep4	116.212077
GENE_00039	Treatment_Batch3_Rep3	152.935679
GENE_00039	Treatment_Batch3_Rep6	124.729023
GENE_00040	Control_Batch1_Rep1	5187.805278
GENE_00040	Control_Batch1_Rep4	5200.959771
GENE_00040	Control_Batch2_Rep3	4965.166944
GENE_00040	Control_Batch2_Rep6	4999.365006
GENE_00040	Control_Batch3_Rep2	5458.272188
GENE_00040	Control_Batch3_Rep5	5358.424717
GENE_00040	Treatment_Batch1_Rep2	5234.132510
GENE_00040	Treatment_Batch1_Rep5	5408.029890
GENE_00040	Treatment_Batch2_Rep1	5077.851141
GENE_00040	Treatment_Batch2_Rep4	5097.190807
GENE_00040	Treatment_Batch3_Rep3	5752.853240
GENE_00040	Treatment_Batch3_Rep6	5725.216160
GENE_00041	Control_Batch1_Rep1	68.181438
GENE_00041	Control_Batch1_Rep4	106.593530
GENE_00041	Control_Batch2_Rep3	89.861548
GENE_00041	Control_Batch2_Rep6	81.036293
GENE_00041	Control_Batch3_Rep2	106.145529
GENE_00041	Control_Batch3_Rep5	98.429177
GENE_00041	Treatment_Batch1_Rep2	32.860946
GENE_00041	Treatment_Batch1_Rep5	42.002126
GENE_00041	Treatment_Batch2_Rep1	28.658985
GENE_00041	Treatment_Batch2_Rep4	50.358566
GENE_00041	Treatment_Batch3_Rep3	43.254536
GENE_00041	Treatment_Batch3_Rep6	49.275663
GENE_00042	Control_Batch1_Rep1	289.771110
GENE_00042	Control_Batch1_Rep4	351.959768
GENE_00042	Control_Batch2_Rep3	305.655829
GENE_00042	Control_Batch2_Rep6	299.898092
GENE_00042	Control_Batch3_Rep2	307.971534
GENE_00042	Control_Batch3_Rep5	341.519415
GENE_00042	Treatment_Batch1_Rep2	665.434151
GENE_00042	Treatment_Batch1_Rep5	660.765160
GENE_00042	Treatment_Batch2_Rep1	616.819526
GENE_00042	Treatment_Batch2_Rep4	624.317100
GENE_00042	Treatment_Batch3_Rep3	692.072571
GENE_00042	Treatment_Batch3_Rep6	712.957258
GENE_00043	Control_Batch1_Rep1	454.208696
GENE_00043	Control_Batch1_Rep4	473.637288
GENE_00043	Control_Batch2_Rep3	413.236556
GENE_00043	Control_Batch2_Rep6	447.294814
GENE_00043	Control_Batch3_Rep2	502.322502
GENE_00043	Control_Batch3_Rep5	469.775615
GENE_00043	Treatment_Batch1_Rep2	233.107334
GENE_00043	Treatment_Batch1_Rep5	206.937306
GENE_00043	Treatment_Batch2_Rep1	229.923224
GENE_00043	Treatment_Batch2_Rep4	220.157323
GENE_00043	Treatment_Batch3_Rep3	240.989556
GENE_00043	Treatment_Batch3_Rep6	244.838453
GENE_00044	Control_Batch1_Rep1	324.864498
GENE_00044	Control_Batch1_Rep4	329.836583
GENE_00044	Control_Batch2_Rep3	287.936650
GENE_00044	Control_Batch2_Rep6	278.841418
GENE_00044	Control_Batch3_Rep2	306.476526
GENE_00044	Control_Batch3_Rep5	356.432928
GENE_00044	Treatment_Batch1_Rep2	613.062019
GENE_00044	Treatment_Batch1_Rep5	580.858675
GENE_00044	Treatment_Batch2_Rep1	589.463223
GENE_00044	Treatment_Batch2_Rep4	620.443365
GENE_00044	Treatment_Batch3_Rep3	679.714132
GENE_00044	Treatment_Batch3_Rep6	632.884304
GENE_00045	Control_Batch1_Rep1	4.010673
GENE_00045	Control_Batch1_Rep4	5.027997
GENE_00045	Control_Batch2_Rep3	3.164139
GENE_00045	Control_Batch2_Rep6	2.552324
GENE_00045	Control_Batch3_Rep2	2.990015
GENE_00045	Control_Batch3_Rep5	4.474053
