gene_id	sample_id	normalized_count
GENE_00007	Treatment_Batch3_Rep6	30.797290
GENE_00008	Control_Batch1_Rep1	177.472272
GENE_00008	Control_Batch1_Rep4	200.114268
GENE_00008	Control_Batch2_Rep3	191.180610
GENE_00008	Control_Batch2_Rep6	201.499278
GENE_00008	Control_Batch3_Rep2	210.724859
GENE_00008	Control_Batch3_Rep5	188.904480
GENE_00008	Treatment_Batch1_Rep2	212.569243
GENE_00008	Treatment_Batch1_Rep5	180.301811
GENE_00008	Treatment_Batch2_Rep1	205.000876
GENE_00008	Treatment_Batch2_Rep4	207.958453
GENE_00008	Treatment_Batch3_Rep3	232.456348
GENE_00008	Treatment_Batch3_Rep6	208.248340
GENE_00009	Control_Batch1_Rep1	25.066705
GENE_00009	Control_Batch1_Rep4	21.117586
GENE_00009	Control_Batch2_Rep3	26.645381
GENE_00009	Control_Batch2_Rep6	21.493256
GENE_00009	Control_Batch3_Rep2	14.238166
GENE_00009	Control_Batch3_Rep5	28.406689
GENE_00009	Treatment_Batch1_Rep2	25.672614
GENE_00009	Treatment_Batch1_Rep5	19.464400
GENE_00009	Treatment_Batch2_Rep1	21.939893
GENE_00009	Treatment_Batch2_Rep4	18.349275
GENE_00009	Treatment_Batch3_Rep3	22.068641
GENE_00009	Treatment_Batch3_Rep6	29.330752
GENE_00010	Control_Batch1_Rep1	82.218793
GENE_00010	Control_Batch1_Rep4	62.347159
GENE_00010	Control_Batch2_Rep3	65.947318
GENE_00010	Control_Batch2_Rep6	59.106455
GENE_00010	Control_Batch3_Rep2	66.919381
GENE_00010	Control_Batch3_Rep5	73.857391
GENE_00010	Treatment_Batch1_Rep2	85.233078
GENE_00010	Treatment_Batch1_Rep5	80.930927
GENE_00010	Treatment_Batch2_Rep1	80.217734
GENE_00010	Treatment_Batch2_Rep4	76.795115
GENE_00010	Treatment_Batch3_Rep3	85.332077
GENE_00010	Treatment_Batch3_Rep6	82.126106
GENE_00011	Control_Batch1_Rep1	313.835147
GENE_00011	Control_Batch1_Rep4	329.836583
GENE_00011	Control_Batch2_Rep3	339.728610
GENE_00011	Control_Batch2_Rep6	327.772159
GENE_00011	Control_Batch3_Rep2	337.444538
GENE_00011	Control_Batch3_Rep5	291.168560
GENE_00011	Treatment_Batch1_Rep2	174.573774
GENE_00011	Treatment_Batch1_Rep5	178.252927
GENE_00011	Treatment_Batch2_Rep1	176.204767
GENE_00011	Treatment_Batch2_Rep4	186.890767
GENE_00011	Treatment_Batch3_Rep3	173.606640
GENE_00011	Treatment_Batch3_Rep6	161.319137
GENE_00012	Control_Batch1_Rep1	935.489433
GENE_00012	Control_Batch1_Rep4	977.442556
GENE_00012	Control_Batch2_Rep3	908.607498
GENE_00012	Control_Batch2_Rep6	949.061600
GENE_00012	Control_Batch3_Rep2	946.838050
GENE_00012	Control_Batch3_Rep5	938.841063
GENE_00012	Treatment_Batch1_Rep2	1834.051533
GENE_00012	Treatment_Batch1_Rep5	1943.366680
GENE_00012	Treatment_Batch2_Rep1	1931.396217
GENE_00012	Treatment_Batch2_Rep4	1859.393227
GENE_00012	Treatment_Batch3_Rep3	1930.270434
GENE_00012	Treatment_Batch3_Rep6	1957.827704
GENE_00013	Control_Batch1_Rep1	88.234802
GENE_00013	Control_Batch1_Rep4	88.492742
GENE_00013	Control_Batch2_Rep3	93.258834
GENE_00013	Control_Batch2_Rep6	75.226397
GENE_00013	Control_Batch3_Rep2	79.733730
GENE_00013	Control_Batch3_Rep5	69.596387
GENE_00013	Treatment_Batch1_Rep2	49.291419
GENE_00013	Treatment_Batch1_Rep5	49.173221
GENE_00013	Treatment_Batch2_Rep1	43.194165
GENE_00013	Treatment_Batch2_Rep4	51.649812
GENE_00013	Treatment_Batch3_Rep3	44.137281
GENE_00013	Treatment_Batch3_Rep6	49.862279
GENE_00014	Control_Batch1_Rep1	51.136078
GENE_00014	Control_Batch1_Rep4	54.302364
GENE_00014	Control_Batch2_Rep3	34.638996
GENE_00014	Control_Batch2_Rep6	46.344834
GENE_00014	Control_Batch3_Rep2	39.866865
GENE_00014	Control_Batch3_Rep5	42.610033
GENE_00014	Treatment_Batch1_Rep2	96.529028
GENE_00014	Treatment_Batch1_Rep5	75.808716
GENE_00014	Treatment_Batch2_Rep1	76.104004
GENE_00014	Treatment_Batch2_Rep4	88.348362
GENE_00014	Treatment_Batch3_Rep3	91.217048
GENE_00014	Treatment_Batch3_Rep6	85.059181
GENE_00015	Control_Batch1_Rep1	98.261484
GENE_00015	Control_Batch1_Rep4	88.492742
GENE_00015	Control_Batch2_Rep3	78.603875
GENE_00015	Control_Batch2_Rep6	71.868076
GENE_00015	Control_Batch3_Rep2	89.700447
GENE_00015	Control_Batch3_Rep5	78.118394
GENE_00015	Treatment_Batch1_Rep2	39.022373
GENE_00015	Treatment_Batch1_Rep5	31.757705
GENE_00015	Treatment_Batch2_Rep1	54.164111
GENE_00015	Treatment_Batch2_Rep4	45.533387
GENE_00015	Treatment_Batch3_Rep3	41.194796
GENE_00015	Treatment_Batch3_Rep6	39.596515
GENE_00016	Control_Batch1_Rep1	391.040599
GENE_00016	Control_Batch1_Rep4	366.038159
GENE_00016	Control_Batch2_Rep3	390.354834
GENE_00016	Control_Batch2_Rep6	393.595257
GENE_00016	Control_Batch3_Rep2	384.430486
GENE_00016	Control_Batch3_Rep5	366.446285
GENE_00016	Treatment_Batch1_Rep2	375.847067
GENE_00016	Treatment_Batch1_Rep5	365.725833
GENE_00016	Treatment_Batch2_Rep1	363.379480
GENE_00016	Treatment_Batch2_Rep4	396.208425
GENE_00016	Treatment_Batch3_Rep3	353.098250
GENE_00016	Treatment_Batch3_Rep6	384.232853
GENE_00017	Control_Batch1_Rep1	68.181438
GENE_00017	Control_Batch1_Rep4	90.503940
GENE_00017	Control_Batch2_Rep3	83.266816
GENE_00017	Control_Batch2_Rep6	73.211404
GENE_00017	Control_Batch3_Rep2	84.005180
GENE_00017	Control_Batch3_Rep5	75.277725
GENE_00017	Treatment_Batch1_Rep2	78.044746
GENE_00017	Treatment_Batch1_Rep5	84.004253
GENE_00017	Treatment_Batch2_Rep1	83.645843
GENE_00017	Treatment_Batch2_Rep4	82.231937
GENE_00017	Treatment_Batch3_Rep3	91.217048
GENE_00017	Treatment_Batch3_Rep6	83.592644
GENE_00018	Control_Batch1_Rep1	9.024014
GENE_00018	Control_Batch1_Rep4	5.027997
GENE_00018	Control_Batch2_Rep3	2.664538
GENE_00018	Control_Batch2_Rep6	6.044978
GENE_00018	Control_Batch3_Rep2	2.847633
GENE_00018	Control_Batch3_Rep5	5.681338
GENE_00018	Treatment_Batch1_Rep2	6.161427
GENE_00018	Treatment_Batch1_Rep5	4.097768
GENE_00018	Treatment_Batch2_Rep1	6.170595
GENE_00018	Treatment_Batch2_Rep4	6.116425
GENE_00018	Treatment_Batch3_Rep3	2.942485
GENE_00018	Treatment_Batch3_Rep6	4.399613
GENE_00019	Control_Batch1_Rep1	238.635032
GENE_00019	Control_Batch1_Rep4	234.304646
GENE_00019	Control_Batch2_Rep3	213.163049
GENE_00019	Control_Batch2_Rep6	222.992534
GENE_00019	Control_Batch3_Rep2	230.658292
GENE_00019	Control_Batch3_Rep5	207.368828
GENE_00019	Treatment_Batch1_Rep2	247.483997
GENE_00019	Treatment_Batch1_Rep5	217.181727
GENE_00019	Treatment_Batch2_Rep1	235.853851
GENE_00019	Treatment_Batch2_Rep4	223.589317
GENE_00019	Treatment_Batch3_Rep3	229.513863
GENE_00019	Treatment_Batch3_Rep6	263.976769
GENE_00020	Control_Batch1_Rep1	921.452078
GENE_00020	Control_Batch1_Rep4	902.022605
GENE_00020	Control_Batch2_Rep3	928.591534
GENE_00020	Control_Batch2_Rep6	931.598329
GENE_00020	Control_Batch3_Rep2	959.652399
GENE_00020	Control_Batch3_Rep5	903.332703
GENE_00020	Treatment_Batch1_Rep2	919.079575
GENE_00020	Treatment_Batch1_Rep5	914.826803
GENE_00020	Treatment_Batch2_Rep1	935.873566
GENE_00020	Treatment_Batch2_Rep4	909.308530
GENE_00020	Treatment_Batch3_Rep3	950.422790
GENE_00020	Treatment_Batch3_Rep6	950.316369
GENE_00021	Control_Batch1_Rep1	38518.501655
GENE_00021	Control_Batch1_Rep4	39438.600401
GENE_00021	Control_Batch2_Rep3	38866.285269
GENE_00021	Control_Batch2_Rep6	39262.806001
GENE_00021	Control_Batch3_Rep2	38957.046429
GENE_00021	Control_Batch3_Rep5	38792.174168
GENE_00021	Treatment_Batch1_Rep2	20025.665700
GENE_00021	Treatment_Batch1_Rep5	19754.317175
GENE_00021	Treatment_Batch2_Rep1	19830.920904
GENE_00021	Treatment_Batch2_Rep4	20133.912182
GENE_00021	Treatment_Batch3_Rep3	19963.292317
GENE_00021	Treatment_Batch3_Rep6	20137.027867
GENE_00022	Control_Batch1_Rep1	5.013341
GENE_00022	Control_Batch1_Rep4	7.039195
GENE_00022	Control_Batch2_Rep3	6.661345
GENE_00022	Control_Batch2_Rep6	6.044978
GENE_00022	Control_Batch3_Rep2	8.542900
GENE_00022	Control_Batch3_Rep5	5.681338
GENE_00022	Treatment_Batch1_Rep2	15.403568
GENE_00022	Treatment_Batch1_Rep5	14.342190
GENE_00022	Treatment_Batch2_Rep1	12.341190
GENE_00022	Treatment_Batch2_Rep4	10.873645
GENE_00022	Treatment_Batch3_Rep3	13.241184
GENE_00022	Treatment_Batch3_Rep6	13.198838
GENE_00023	Control_Batch1_Rep1	6400.031135
GENE_00023	Control_Batch1_Rep4	6262.872671
GENE_00023	Control_Batch2_Rep3	6479.490570
GENE_00023	Control_Batch2_Rep6	6418.423672
GENE_00023	Control_Batch3_Rep2	6365.884090
GENE_00023	Control_Batch3_Rep5	6316.227245
GENE_00023	Treatment_Batch1_Rep2	3209.076730
GENE_00023	Treatment_Batch1_Rep5	3284.361399
GENE_00023	Treatment_Batch2_Rep1	3382.857272
GENE_00023	Treatment_Batch2_Rep4	3307.626767
GENE_00023	Treatment_Batch3_Rep3	3313.238580
GENE_00023	Treatment_Batch3_Rep6	3334.906516
GENE_00024	Control_Batch1_Rep1	2153.731298
GENE_00024	Control_Batch1_Rep4	2200.251350
GENE_00024	Control_Batch2_Rep3	2194.913275
GENE_00024	Control_Batch2_Rep6	2211.790409
GENE_00024	Control_Batch3_Rep2	2179.863239
GENE_00024	Control_Batch3_Rep5	2124.820319
GENE_00024	Treatment_Batch1_Rep2	4606.693828
GENE_00024	Treatment_Batch1_Rep5	4420.467698
GENE_00024	Treatment_Batch2_Rep1	4432.544034
GENE_00024	Treatment_Batch2_Rep4	4356.253868
GENE_00024	Treatment_Batch3_Rep3	4410.785641
GENE_00024	Treatment_Batch3_Rep6	4562.398492
GENE_00025	Control_Batch1_Rep1	0.000000
GENE_00025	Control_Batch1_Rep4	1.005599
GENE_00025	Control_Batch2_Rep3	1.332269
GENE_00025	Control_Batch2_Rep6	0.000000
GENE_00025	Control_Batch3_Rep2	0.000000
GENE_00025	Control_Batch3_Rep5	0.000000
GENE_00025	Treatment_Batch1_Rep2	0.000000
GENE_00025	Treatment_Batch1_Rep5	1.024442
GENE_00025	Treatment_Batch2_Rep1	0.000000
GENE_00025	Treatment_Batch2_Rep4	0.000000
GENE_00025	Treatment_Batch3_Rep3	0.000000
GENE_00025	Treatment_Batch3_Rep6	0.000000
GENE_00026	Control_Batch1_Rep1	1290.433976
GENE_00026	Control_Batch1_Rep4	1342.475115
GENE_00026	Control_Batch2_Rep3	1335.599732
GENE_00026	Control_Batch2_Rep6	1319.820272
GENE_00026	Control_Batch3_Rep2	1331.268536
GENE_00026	Control_Batch3_Rep5	1269.778987
GENE_00026	Treatment_Batch1_Rep2	1295.953547
GENE_00026	Treatment_Batch1_Rep5	1310.261457
GENE_00026	Treatment_Batch2_Rep1	1383.584511
GENE_00026	Treatment_Batch2_Rep4	1323.866230
GENE_00026	Treatment_Batch3_Rep3	1405.036787
GENE_00026	Treatment_Batch3_Rep6	1397.610338
GENE_00027	Control_Batch1_Rep1	38.101392
GENE_00027	Control_Batch1_Rep4	32.179179
GENE_00027	Control_Batch2_Rep3	42.632610
GENE_00027	Control_Batch2_Rep6	29.553227
GENE_00027	Control_Batch3_Rep2	37.019232
GENE_00027	Control_Batch3_Rep5	26.986354
GENE_00027	Treatment_Batch1_Rep2	42.103087
GENE_00027	Treatment_Batch1_Rep5	30.733263
GENE_00027	Treatment_Batch2_Rep1	39.080435
GENE_00027	Treatment_Batch2_Rep4	38.737359
GENE_00027	Treatment_Batch3_Rep3	35.309825
GENE_00027	Treatment_Batch3_Rep6	32.263827
GENE_00028	Control_Batch1_Rep1	6.016009
GENE_00028	Control_Batch1_Rep4	7.039195
GENE_00028	Control_Batch2_Rep3	10.658152
GENE_00028	Control_Batch2_Rep6	12.089957
GENE_00028	Control_Batch3_Rep2	8.542900
GENE_00028	Control_Batch3_Rep5	12.783010
GENE_00028	Treatment_Batch1_Rep2	7.188332
GENE_00028	Treatment_Batch1_Rep5	11.268863
GENE_00028	Treatment_Batch2_Rep1	9.598703
GENE_00028	Treatment_Batch2_Rep4	4.757220
GENE_00028	Treatment_Batch3_Rep3	8.827456
GENE_00028	Treatment_Batch3_Rep6	10.265763
GENE_00029	Control_Batch1_Rep1	747.990479
GENE_00029	Control_Batch1_Rep4	783.361884
GENE_00029	Control_Batch2_Rep3	768.053113
GENE_00029	Control_Batch2_Rep6	776.443885
GENE_00029	Control_Batch3_Rep2	798.761122
GENE_00029	Control_Batch3_Rep5	739.994242
GENE_00029	Treatment_Batch1_Rep2	814.335311
GENE_00029	Treatment_Batch1_Rep5	807.260381
GENE_00029	Treatment_Batch2_Rep1	782.979936
GENE_00029	Treatment_Batch2_Rep4	793.096453
GENE_00029	Treatment_Batch3_Rep3	738.563840
GENE_00029	Treatment_Batch3_Rep6	794.863382
GENE_00030	Control_Batch1_Rep1	195.520299
GENE_00030	Control_Batch1_Rep4	174.974285
GENE_00030	Control_Batch2_Rep3	191.180610
GENE_00030	Control_Batch2_Rep6	201.499278
GENE_00030	Control_Batch3_Rep2	187.943793
GENE_00030	Control_Batch3_Rep5	178.962139
GENE_00030	Treatment_Batch1_Rep2	204.354006
GENE_00030	Treatment_Batch1_Rep5	195.668443
GENE_00030	Treatment_Batch2_Rep1	194.030930
GENE_00030	Treatment_Batch2_Rep4	190.288780
GENE_00030	Treatment_Batch3_Rep3	211.858950
GENE_00030	Treatment_Batch3_Rep6	171.584900
GENE_00031	Control_Batch1_Rep1	15148.311199
GENE_00031	Control_Batch1_Rep4	15235.835556
GENE_00031	Control_Batch2_Rep3	14999.351205
GENE_00031	Control_Batch2_Rep6	15190.358911
GENE_00031	Control_Batch3_Rep2	14850.407304
GENE_00031	Control_Batch3_Rep5	14843.915211
GENE_00031	Treatment_Batch1_Rep2	7640.169879
GENE_00031	Treatment_Batch1_Rep5	7720.195728
GENE_00031	Treatment_Batch2_Rep1	7744.096654
GENE_00031	Treatment_Batch2_Rep4	7589.803930
GENE_00031	Treatment_Batch3_Rep3	7638.692145
GENE_00031	Treatment_Batch3_Rep6	7870.907331
GENE_00032	Control_Batch1_Rep1	46.122737
GENE_00032	Control_Batch1_Rep4	39.218374
GENE_00032	Control_Batch2_Rep3	39.301937
GENE_00032	Control_Batch2_Rep6	46.344834
GENE_00032	Control_Batch3_Rep2	37.019232
GENE_00032	Control_Batch3_Rep5	35.508361
GENE_00032	Treatment_Batch1_Rep2	73.937128
GENE_00032	Treatment_Batch1_Rep5	81.955369
GENE_00032	Treatment_Batch2_Rep1	82.274599
GENE_00032	Treatment_Batch2_Rep4	82.231937
GENE_00032	Treatment_Batch3_Rep3	70.619650
GENE_00032	Treatment_Batch3_Rep6	86.525719
GENE_00033	Control_Batch1_Rep1	354.944544
GENE_00033	Control_Batch1_Rep4	354.976566
GENE_00033	Control_Batch2_Rep3	314.415498
GENE_00033	Control_Batch2_Rep6	338.518787
GENE_00033	Control_Batch3_Rep2	350.258888
GENE_00033	Control_Batch3_Rep5	318.154914
GENE_00033	Treatment_Batch1_Rep2	189.977342
GENE_00033	Treatment_Batch1_Rep5	160.837411
GENE_00033	Treatment_Batch2_Rep1	177.576010
GENE_00033	Treatment_Batch2_Rep4	170.580300
GENE_00033	Treatment_Batch3_Rep3	183.905339
GENE_00033	Treatment_Batch3_Rep6	148.120298
GENE_00034	Control_Batch1_Rep1	624.662290
GENE_00034	Control_Batch1_Rep4	629.505185
GENE_00034	Control_Batch2_Rep3	580.869310
GENE_00034	Control_Batch2_Rep6	613.901134
GENE_00034	Control_Batch3_Rep2	673.465259
GENE_00034	Control_Batch3_Rep5	578.076116
GENE_00034	Treatment_Batch1_Rep2	1345.244965
GENE_00034	Treatment_Batch1_Rep5	1140.204067
GENE_00034	Treatment_Batch2_Rep1	1262.229477
GENE_00034	Treatment_Batch2_Rep4	1274.255227
GENE_00034	Treatment_Batch3_Rep3	1303.521040
GENE_00034	Treatment_Batch3_Rep6	1309.618082
GENE_00035	Control_Batch1_Rep1	6.016009
GENE_00035	Control_Batch1_Rep4	8.044795
GENE_00035	Control_Batch2_Rep3	3.330673
GENE_00035	Control_Batch2_Rep6	4.029986
GENE_00035	Control_Batch3_Rep2	5.695266
GENE_00035	Control_Batch3_Rep5	4.261003
GENE_00035	Treatment_Batch1_Rep2	2.053809
GENE_00035	Treatment_Batch1_Rep5	2.048884
GENE_00035	Treatment_Batch2_Rep1	2.056865
GENE_00035	Treatment_Batch2_Rep4	1.359206
GENE_00035	Treatment_Batch3_Rep3	4.413728
GENE_00035	Treatment_Batch3_Rep6	0.000000
GENE_00036	Control_Batch1_Rep1	51.136078
GENE_00036	Control_Batch1_Rep4	71.397553
GENE_00036	Control_Batch2_Rep3	55.955300
GENE_00036	Control_Batch2_Rep6	57.763126
GENE_00036	Control_Batch3_Rep2	59.800298
GENE_00036	Control_Batch3_Rep5	61.074381
GENE_00036	Treatment_Batch1_Rep2	78.044746
GENE_00036	Treatment_Batch1_Rep5	53.270990
GENE_00036	Treatment_Batch2_Rep1	67.190923
GENE_00036	Treatment_Batch2_Rep4	67.280676
GENE_00036	Treatment_Batch3_Rep3	67.677165
GENE_00036	Treatment_Batch3_Rep6	73.326880
GENE_00037	Control_Batch1_Rep1	44.117401
GENE_00037	Control_Batch1_Rep4	63.352758
GENE_00037	Control_Batch2_Rep3	63.282780
GENE_00037	Control_Batch2_Rep6	59.778119
GENE_00037	Control_Batch3_Rep2	72.614647
GENE_00037	Control_Batch3_Rep5	63.915050
GENE_00037	Treatment_Batch1_Rep2	57.506655
GENE_00037	Treatment_Batch1_Rep5	59.417642
GENE_00037	Treatment_Batch2_Rep1	61.020328
GENE_00037	Treatment_Batch2_Rep4	65.241868
GENE_00037	Treatment_Batch3_Rep3	66.205922
GENE_00037	Treatment_Batch3_Rep6	38.129978
GENE_00038	Control_Batch1_Rep1	52.138747
GENE_00038	Control_Batch1_Rep4	65.363957
GENE_00038	Control_Batch2_Rep3	65.281184
GENE_00038	Control_Batch2_Rep6	59.106455
GENE_00038	Control_Batch3_Rep2	69.767014
GENE_00038	Control_Batch3_Rep5	66.755719
GENE_00038	Treatment_Batch1_Rep2	62.641178
GENE_00038	Treatment_Batch1_Rep5	60.442084
GENE_00038	Treatment_Batch2_Rep1	59.649084
GENE_00038	Treatment_Batch2_Rep4	61.164251
GENE_00038	Treatment_Batch3_Rep3	67.677165
GENE_00038	Treatment_Batch3_Rep6	64.527655
GENE_00039	Control_Batch1_Rep1	118.314848
GENE_00039	Control_Batch1_Rep4	109.610328
GENE_00039	Control_Batch2_Rep3	108.579928
GENE_00039	Control_Batch2_Rep6	123.586224
GENE_00039	Control_Batch3_Rep2	108.210063
GENE_00039	Control_Batch3_Rep5	136.352106
GENE_00039	Treatment_Batch1_Rep2	127.336165
GENE_00039	Treatment_Batch1_Rep5	123.957495
GENE_00039	Treatment_Batch2_Rep1	126.154386
GENE_00039	Treatment_Batch2_Rep4	122.328502
GENE_00039	Treatment_Batch3_Rep3	145.653028
GENE_00039	Treatment_Batch3_Rep6	118.789546
GENE_00040	Control_Batch1_Rep1	5187.805278
GENE_00040	Control_Batch1_Rep4	5200.959771
GENE_00040	Control_Batch2_Rep3	5226.491520
GENE_00040	Control_Batch2_Rep6	5262.489480
GENE_00040	Control_Batch3_Rep2	5198.354465
GENE_00040	Control_Batch3_Rep5	5103.261635
GENE_00040	Treatment_Batch1_Rep2	5234.132510
GENE_00040	Treatment_Batch1_Rep5	5408.029890
GENE_00040	Treatment_Batch2_Rep1	5345.106464
GENE_00040	Treatment_Batch2_Rep4	5365.464007
GENE_00040	Treatment_Batch3_Rep3	5478.907848
GENE_00040	Treatment_Batch3_Rep6	5452.586819
GENE_00041	Control_Batch1_Rep1	68.181438
GENE_00041	Control_Batch1_Rep4	106.593530
GENE_00041	Control_Batch2_Rep3	94.591103
GENE_00041	Control_Batch2_Rep6	85.301361
GENE_00041	Control_Batch3_Rep2	101.090980
GENE_00041	Control_Batch3_Rep5	93.742073
GENE_00041	Treatment_Batch1_Rep2	32.860946
GENE_00041	Treatment_Batch1_Rep5	42.002126
GENE_00041	Treatment_Batch2_Rep1	30.167353
GENE_00041	Treatment_Batch2_Rep4	53.009017
GENE_00041	Treatment_Batch3_Rep3	41.194796
GENE_00041	Treatment_Batch3_Rep6	46.929203
GENE_00042	Control_Batch1_Rep1	289.771110
GENE_00042	Control_Batch1_Rep4	351.959768
GENE_00042	Control_Batch2_Rep3	321.742978
GENE_00042	Control_Batch2_Rep6	315.682202
GENE_00042	Control_Batch3_Rep2	293.306223
GENE_00042	Control_Batch3_Rep5	325.256586
GENE_00042	Treatment_Batch1_Rep2	665.434151
GENE_00042	Treatment_Batch1_Rep5	660.765160
GENE_00042	Treatment_Batch2_Rep1	649.283712
GENE_00042	Treatment_Batch2_Rep4	657.175895
GENE_00042	Treatment_Batch3_Rep3	659.116734
GENE_00042	Treatment_Batch3_Rep6	679.006912
GENE_00043	Control_Batch1_Rep1	454.208696
GENE_00043	Control_Batch1_Rep4	473.637288
GENE_00043	Control_Batch2_Rep3	434.985848
GENE_00043	Control_Batch2_Rep6	470.836646
GENE_00043	Control_Batch3_Rep2	478.402383
GENE_00043	Control_Batch3_Rep5	447.405348
GENE_00043	Treatment_Batch1_Rep2	233.107334
GENE_00043	Treatment_Batch1_Rep5	206.937306
GENE_00043	Treatment_Batch2_Rep1	242.024446
GENE_00043	Treatment_Batch2_Rep4	231.744551
GENE_00043	Treatment_Batch3_Rep3	229.513863
GENE_00043	Treatment_Batch3_Rep6	233.179479
GENE_00044	Control_Batch1_Rep1	324.864498
GENE_00044	Control_Batch1_Rep4	329.836583
GENE_00044	Control_Batch2_Rep3	303.091211
GENE_00044	Control_Batch2_Rep6	293.517282
GENE_00044	Control_Batch3_Rep2	291.882406
GENE_00044	Control_Batch3_Rep5	339.459931
GENE_00044	Treatment_Batch1_Rep2	613.062019
GENE_00044	Treatment_Batch1_Rep5	580.858675
GENE_00044	Treatment_Batch2_Rep1	620.487603
GENE_00044	Treatment_Batch2_Rep4	653.098279
GENE_00044	Treatment_Batch3_Rep3	647.346792
GENE_00044	Treatment_Batch3_Rep6	602.746956
GENE_00045	Control_Batch1_Rep1	4.010673
GENE_00045	Control_Batch1_Rep4	5.027997
GENE_00045	Control_Batch2_Rep3	3.330673
GENE_00045	Control_Batch2_Rep6	2.686657
GENE_00045	Control_Batch3_Rep2	2.847633
GENE_00045	Control_Batch3_Rep5	4.261003
